,Date,State,Residents.Confirmed,Staff.Confirmed,Residents.Deaths,Staff.Deaths,Residents.Tadmin,Residents.Tested,Residents.Active,Staff.Active,Staff.Initiated,Residents.Initiated,Residents.Initiated.Pct,Staff.Initiated.Pct,Residents.Completed,Staff.Completed,Residents.Completed.Pct,Residents.Vadmin,Staff.Vadmin
0,2020-03-22,Alabama,0.0,1.0,0.0,0.0,,,,,,,,,,,,,
1,2020-03-29,Alabama,0.0,2.0,0.0,0.0,,17.0,,,,,,,,,,,
2,2020-04-05,Alabama,0.0,2.0,0.0,0.0,,30.0,,,,,,,,,,,
3,2020-04-12,Alabama,3.0,6.0,1.0,0.0,,50.0,,,,,,,,,,,
4,2020-04-19,Alabama,4.0,9.0,1.0,0.0,,63.0,,,,,,,,,,,
5,2020-04-26,Alabama,6.0,16.0,1.0,0.0,,78.0,,,,,,,,,,,
6,2020-05-03,Alabama,9.0,17.0,1.0,0.0,,102.0,,,,,,,,,,,
7,2020-05-10,Alabama,9.0,30.0,1.0,0.0,,125.0,,,,,,,,,,,
8,2020-05-17,Alabama,9.0,43.0,1.0,0.0,,138.0,,,,,,,,,,,
9,2020-05-24,Alabama,12.0,61.0,1.0,0.0,,152.0,,,,,,,,,,,
10,2020-05-31,Alabama,22.0,83.0,2.0,0.0,,176.0,,,,,,,,,,,
11,2020-06-07,Alabama,28.0,116.0,2.0,0.0,,220.0,,,,,,,,,,,
12,2020-06-14,Alabama,48.0,144.0,6.0,0.0,,265.0,,,,,,,,,,,
13,2020-06-21,Alabama,63.0,157.0,10.0,1.0,,289.0,,,,,,,,,,,
14,2020-06-28,Alabama,75.0,173.0,9.0,2.0,,329.0,,,,,,,,,,,
15,2020-07-05,Alabama,100.0,203.0,10.0,2.0,,490.0,,,,,,,,,,,
16,2020-07-12,Alabama,146.0,233.0,13.0,2.0,,,,,,,,,,,,,
17,2020-07-19,Alabama,181.0,281.0,15.0,2.0,,664.0,,,,,,,,,,,
18,2020-07-26,Alabama,207.0,303.0,15.0,2.0,,736.0,,,,,,,,,,,
19,2020-08-02,Alabama,235.0,333.0,16.0,2.0,,1040.0,,,,,,,,,,,
20,2020-08-09,Alabama,300.0,348.0,18.0,2.0,,1269.0,,,,,,,,,,,
21,2020-08-16,Alabama,330.0,353.0,18.0,2.0,,1393.0,,,,,,,,,,,
22,2020-08-23,Alabama,342.0,361.0,20.0,2.0,,,,,,,,,,,,,
23,2020-08-30,Alabama,359.0,367.0,20.0,2.0,,1726.0,,,,,,,,,,,
24,2020-09-06,Alabama,393.0,374.0,21.0,2.0,,1886.0,,,,,,,,,,,
25,2020-09-13,Alabama,404.0,379.0,22.0,2.0,,1954.0,,,,,,,,,,,
26,2020-09-20,Alabama,409.0,392.0,23.0,2.0,,2011.0,,,,,,,,,,,
27,2020-09-27,Alabama,427.0,404.0,23.0,2.0,,2079.0,,,,,,,,,,,
28,2020-10-04,Alabama,441.0,450.0,26.0,2.0,,2834.0,,,,,,,,,,,
29,2020-10-11,Alabama,441.0,450.0,26.0,2.0,,3155.0,,,,,,,,,,,
30,2020-10-18,Alabama,501.0,478.0,27.0,2.0,3270.0,3249.0,,,,,,,,,,,
31,2020-10-25,Alabama,538.0,503.0,27.0,2.0,5339.0,5339.0,90.0,67.0,,,,,,,,,
32,2020-11-01,Alabama,711.0,527.0,28.0,2.0,6554.0,6555.0,252.0,92.0,,,,,,,,,
33,2020-11-08,Alabama,751.0,542.0,32.0,2.0,,6783.0,231.0,133.0,,,,,,,,,
34,2020-11-15,Alabama,775.0,582.0,32.0,2.0,6852.0,6853.0,241.0,170.0,,,,,,,,,
35,2020-11-22,Alabama,834.0,645.0,34.0,2.0,6984.0,6915.0,80.0,185.0,,,,,,,,,
36,2020-11-29,Alabama,855.0,667.0,34.0,2.0,7032.0,7038.0,130.0,229.0,,,,,,,,,
37,2020-12-06,Alabama,1033.0,729.0,43.0,2.0,10584.0,10550.0,226.0,266.0,,,,,,,,,
38,2020-12-13,Alabama,1068.0,770.0,48.0,2.0,10805.0,10805.0,199.0,270.0,,,,,,,,,
39,2020-12-20,Alabama,1094.0,795.0,54.0,2.0,11111.0,11112.0,85.0,277.0,,,,,0.0,0.0,,,
40,2020-12-27,Alabama,1164.0,813.0,54.0,2.0,12671.0,12688.0,123.0,290.0,,,,,0.0,0.0,,,
41,2021-01-03,Alabama,1164.0,813.0,54.0,2.0,,12681.0,96.0,280.0,,,,,0.0,0.0,,,
42,2021-01-10,Alabama,1266.0,867.0,54.0,3.0,14447.0,14989.0,187.0,320.0,,,,,0.0,0.0,,,
43,2021-01-17,Alabama,1307.0,919.0,57.0,3.0,14552.0,14628.0,133.0,340.0,,,,,0.0,0.0,,,
44,2021-01-24,Alabama,1378.0,959.0,60.0,3.0,14694.0,14723.0,164.0,159.0,,,,,0.0,0.0,,,
45,2021-01-31,Alabama,1413.0,979.0,60.0,3.0,14773.0,14773.0,152.0,173.0,,,,,0.0,0.0,,,
46,2021-02-07,Alabama,1485.0,1001.0,60.0,3.0,14890.0,14892.0,194.0,172.0,,,,,0.0,0.0,,,
47,2021-02-14,Alabama,1499.0,1005.0,60.0,3.0,15075.0,15077.0,160.0,158.0,,,,,0.0,0.0,,,
48,2021-02-21,Alabama,1506.0,1014.0,61.0,3.0,15115.0,15119.0,89.0,160.0,,,,,0.0,0.0,,,
49,2021-02-28,Alabama,1530.0,1026.0,61.0,3.0,15152.0,15156.0,31.0,80.0,,,,,0.0,0.0,,,
50,2021-03-07,Alabama,1557.0,1029.0,62.0,3.0,15211.0,15212.0,52.0,57.0,,,,,0.0,,,,
51,2021-03-14,Alabama,1567.0,1034.0,63.0,3.0,15338.0,15292.0,33.0,58.0,,,,,0.0,,,,
52,2021-03-21,Alabama,1595.0,1036.0,63.0,3.0,15493.0,15353.0,34.0,60.0,172.0,,,,0.0,,,,
53,2021-03-28,Alabama,1611.0,1039.0,64.0,3.0,15550.0,15510.0,45.0,64.0,487.0,,,,,,,,
54,2021-04-04,Alabama,1632.0,1040.0,65.0,3.0,15599.0,15574.0,50.0,55.0,768.0,871.0,,,,,,,
55,2021-04-11,Alabama,1635.0,1044.0,65.0,3.0,15692.0,15669.0,64.0,55.0,826.0,1184.0,,,,,,,
56,2021-04-18,Alabama,1638.0,1044.0,65.0,3.0,15871.0,15703.0,24.0,22.0,824.0,1740.0,,,,,,,
57,2021-04-25,Alabama,1644.0,1045.0,65.0,3.0,15981.0,15877.0,7.0,22.0,830.0,1972.0,,,,,,,
58,2021-05-02,Alabama,1647.0,1045.0,65.0,3.0,16014.0,15986.0,12.0,22.0,838.0,2798.0,,,,,,,
59,2021-05-09,Alabama,1649.0,1046.0,66.0,3.0,16066.0,16033.0,9.0,21.0,839.0,3508.0,,,,,,,
60,2021-05-16,Alabama,1651.0,1052.0,66.0,3.0,16211.0,16074.0,4.0,9.0,846.0,4845.0,,,,,,,
61,2021-05-23,Alabama,1654.0,1052.0,66.0,3.0,16334.0,16266.0,3.0,11.0,853.0,7348.0,,,,,,,
62,2021-05-30,Alabama,1655.0,1053.0,66.0,3.0,16429.0,16372.0,5.0,6.0,855.0,9373.0,,,,,,,
63,2021-06-06,Alabama,1661.0,1055.0,66.0,3.0,16489.0,16437.0,4.0,5.0,859.0,10579.0,,,,,,,
64,2021-06-13,Alabama,1661.0,1056.0,66.0,3.0,16497.0,16497.0,8.0,7.0,865.0,10671.0,,,,,,,
65,2021-06-20,Alabama,1662.0,1058.0,66.0,3.0,16743.0,16497.0,6.0,7.0,865.0,10671.0,,,,,,,
66,2021-06-27,Alabama,1662.0,1058.0,66.0,3.0,,16743.0,7.0,8.0,871.0,10811.0,,,,,,,
67,2021-07-04,Alabama,1662.0,1058.0,66.0,3.0,,16743.0,1.0,7.0,871.0,10811.0,,,,,,,
68,2021-07-11,Alabama,1664.0,1059.0,66.0,3.0,,16841.0,3.0,7.0,874.0,10947.0,,,,,,,
69,2021-07-18,Alabama,1666.0,1062.0,66.0,3.0,,16907.0,4.0,9.0,874.0,10971.0,,,,,,,
70,2021-07-25,Alabama,1666.0,1062.0,66.0,3.0,,16907.0,4.0,9.0,874.0,10971.0,,,,,,,
71,2021-08-01,Alabama,1681.0,1089.0,66.0,3.0,,17018.0,19.0,32.0,874.0,11074.0,,,,,,,
72,2021-08-08,Alabama,1698.0,1106.0,66.0,3.0,,17169.0,22.0,46.0,876.0,11255.0,,,,,,,
73,2021-08-15,Alabama,1901.0,1124.0,66.0,3.0,,18246.0,226.0,62.0,876.0,11355.0,,,,,,,
74,2021-08-22,Alabama,1906.0,1136.0,67.0,3.0,,18318.0,226.0,64.0,878.0,11399.0,,,,,,,
75,2021-08-29,Alabama,1941.0,1156.0,67.0,3.0,,18374.0,243.0,71.0,879.0,11517.0,,,,,,,
76,2021-09-05,Alabama,1958.0,1174.0,67.0,3.0,,18420.0,239.0,71.0,879.0,11517.0,,,,,,,
77,2021-09-12,Alabama,1994.0,1180.0,68.0,3.0,,18504.0,79.0,63.0,879.0,11554.0,,,,,,,
78,2021-09-19,Alabama,2040.0,1192.0,68.0,3.0,,18636.0,86.0,61.0,879.0,11759.0,,,,,,,
79,2021-09-26,Alabama,2059.0,1196.0,68.0,3.0,,18748.0,79.0,52.0,879.0,11827.0,,,,,,,
80,2021-10-03,Alabama,2070.0,1201.0,68.0,3.0,,18817.0,57.0,51.0,879.0,11836.0,,,,,,,
81,2021-10-10,Alabama,2077.0,1208.0,68.0,3.0,,18889.0,31.0,53.0,880.0,11889.0,,,,,,,
82,2021-10-17,Alabama,2085.0,1213.0,68.0,3.0,,18935.0,19.0,51.0,880.0,11895.0,,,,,,,
83,2021-10-24,Alabama,2096.0,1214.0,69.0,3.0,,19001.0,20.0,46.0,880.0,11919.0,,,,,,,
84,2021-10-31,Alabama,2096.0,1214.0,69.0,3.0,,19001.0,17.0,25.0,880.0,11919.0,,,,,,,
85,2021-11-07,Alabama,2124.0,1214.0,69.0,3.0,,19179.0,29.0,26.0,880.0,11948.0,,,,,,,
