,p,d,q,coeffs significant,AIC,MAPE,Ljung-Box
0,0,0,0,False,-609.2,2.977,0.00
1,0,0,1,False,-613.39,2.9665,0.17
2,0,0,2,False,-617.27,3.4114,0.12
3,0,1,0,True,-607.72,1.2977,0.79
4,0,1,1,True,-614.13,1.2232,0.99
5,0,1,2,False,-612.03,1.1958,0.99
6,1,0,0,False,-624.66,3.5623,0.96
7,1,0,1,False,-622.23,1.7151,0.80
8,1,0,2,False,-624.41,2.7294,0.99
9,1,1,0,True,-615.52,1.3427,0.98
10,1,1,1,False,-613.4,1.2706,0.98
11,1,1,2,False,-610.67,1.2006,0.99
12,2,0,0,False,-627.19,3.103,0.99
13,2,0,1,False,-625.34,3.2605,0.99
14,2,0,2,False,-620.91,1.9329,0.98
15,2,1,0,False,,,
16,2,1,1,False,-611.38,1.3052,0.98
17,2,1,2,False,-607.94,1.1346,0.93
18,3,0,0,False,-625.16,3.4816,0.99
19,3,0,1,False,-623.36,3.2281,0.99
20,3,0,2,False,-621.42,3.3104,0.99
21,3,1,0,False,-612.21,1.404,0.98
22,3,1,1,False,-610.38,1.3485,0.96
23,3,1,2,False,-609.37,1.2645,0.98
24,4,0,0,False,-623.13,3.1983,0.99
25,4,0,1,False,-621.11,3.2028,0.99
26,4,0,2,False,-618.99,3.3191,0.99
27,4,1,0,False,-611.28,1.343,0.97
28,4,1,1,False,-609.31,1.2444,0.97
29,4,1,2,False,-608.4,1.8804,0.98
