,p,d,q,coeffs significant,AIC,MAPE,Ljung-Box
0,0,0,0,False,-610.1,2.9705,0.00
1,0,0,1,False,-616.93,2.9626,0.28
2,0,0,2,False,-622.52,3.3291,0.20
3,0,1,0,False,-605.75,1.3408,0.74
4,0,1,1,False,-612.73,1.2883,0.99
5,0,1,2,False,-610.55,1.2614,0.98
6,1,0,0,False,-627.28,2.9815,0.85
7,1,0,1,False,-627.31,2.3069,0.97
8,1,0,2,False,-625.86,2.6463,0.98
9,1,1,0,False,-614.3,1.463,0.97
10,1,1,1,False,-613.47,1.7726,0.93
11,1,1,2,False,-609.13,1.2656,0.98
12,2,0,0,False,-628.95,2.8659,0.98
13,2,0,1,False,-616.49,2.9569,0.97
14,2,0,2,False,-624.31,2.8337,0.99
15,2,1,0,False,-613.21,1.689,0.96
16,2,1,1,False,-609.6,1.2644,0.98
17,2,1,2,False,-602.3,1.6236,0.86
18,3,0,0,False,-626.96,3.2626,0.97
19,3,0,1,False,-624.98,2.9487,0.97
20,3,0,2,False,-623.16,3.2168,0.98
21,3,1,0,False,-610.98,1.5614,0.95
22,3,1,1,False,-609.14,1.46,0.94
23,3,1,2,False,-612.14,3.1177,0.90
24,4,0,0,False,-624.91,3.1228,0.97
25,4,0,1,False,-622.94,3.1021,0.97
26,4,0,2,False,-620.98,3.2099,0.98
27,4,1,0,False,-610.43,1.6269,0.93
28,4,1,1,False,-608.04,1.3121,0.96
29,4,1,2,False,-607.59,1.8825,0.97
