,p,d,q,coeffs significant,AIC,MAPE,Ljung-Box
0,0,0,0,False,-554.51,4.1241,0.00
1,0,0,1,False,-572.95,4.0945,0.03
2,0,0,2,False,-589.17,4.2119,0.35
3,0,1,0,True,-573.56,1.06,0.73
4,0,1,1,True,-579.45,1.1352,0.94
5,0,1,2,False,-580.68,0.9992,1.00
6,1,0,0,False,-590.43,4.1616,0.85
7,1,0,1,False,-589.8,3.4911,0.89
8,1,0,2,False,-598.74,3.8375,0.90
9,1,1,0,False,-580.05,0.8266,0.99
10,1,1,1,False,-580.41,1.1116,0.97
11,1,1,2,False,-578.73,0.985,1.00
12,2,0,0,False,-593.49,3.5712,0.96
13,2,0,1,False,-587.89,4.065,0.87
14,2,0,2,False,-601.03,3.9859,0.95
15,2,1,0,False,-579.41,0.8125,0.99
16,2,1,1,False,-575.89,0.8192,0.99
17,2,1,2,False,-578.78,1.3716,0.99
18,3,0,0,False,-593.25,3.7289,0.93
19,3,0,1,False,-593.56,4.499,0.93
20,3,0,2,False,-600.08,3.9278,0.99
21,3,1,0,False,-577.83,0.8698,1.00
22,3,1,1,False,-575.57,0.8473,1.00
23,3,1,2,False,-579.09,1.2776,1.00
24,4,0,0,False,-595.48,4.2578,0.96
25,4,0,1,False,-594.37,4.547,0.98
26,4,0,2,False,-597.81,3.7948,0.99
27,4,1,0,False,-578.92,1.5211,0.99
28,4,1,1,False,-577.66,1.3976,0.99
29,4,1,2,False,-578.67,4.6948,0.99
