,p,d,q,coeffs significant,AIC,MAPE,Ljung-Box
0,0,0,0,True,-497.66,6.7925,0.00
1,0,0,1,True,-539.48,6.6697,0.00
2,0,0,2,False,-564.45,6.5039,0.00
3,0,1,0,True,-574.57,1.4155,0.90
4,0,1,1,True,-576.37,1.2945,0.99
5,0,1,2,True,-579.8,1.5851,1.00
6,1,0,0,False,-585.07,5.1719,0.98
7,1,0,1,False,-584.66,4.7315,0.99
8,1,0,2,False,-591.24,5.4221,1.00
9,1,1,0,True,-577.86,1.2456,1.00
10,1,1,1,False,-576.98,1.1878,1.00
11,1,1,2,False,-578.0,1.6075,1.00
12,2,0,0,False,-585.69,4.4826,1.00
13,2,0,1,False,-585.18,4.5776,1.00
14,2,0,2,False,-589.5,5.5956,1.00
15,2,1,0,True,-578.17,1.23,1.00
16,2,1,1,False,-575.51,1.1548,1.00
17,2,1,2,False,-576.65,1.6996,1.00
18,3,0,0,False,-588.47,5.3421,1.00
19,3,0,1,False,-585.8,5.7216,1.00
20,3,0,2,False,-587.42,5.6469,1.00
21,3,1,0,False,-576.58,1.2511,1.00
22,3,1,1,False,-574.41,1.2309,1.00
23,3,1,2,False,-574.89,1.8158,1.00
24,4,0,0,False,-588.96,5.9781,1.00
25,4,0,1,False,-587.27,5.9729,1.00
26,4,0,2,False,-585.34,5.8868,1.00
27,4,1,0,False,-577.24,2.0601,1.00
28,4,1,1,False,-575.46,2.0431,1.00
29,4,1,2,False,-575.29,1.6874,1.00
