,p,d,q,coeffs significant,AIC,MAPE,Ljung-Box
0,0,0,0,False,-496.52,2.584,0.00
1,0,0,1,False,-516.67,1.3032,0.02
2,0,0,2,False,-520.04,1.3658,0.71
3,0,1,0,True,-505.79,2.9521,0.97
4,0,1,1,True,-512.77,9.0531,0.92
5,0,1,2,True,-516.35,8.5365,0.99
6,1,0,0,False,-524.98,1.272,0.99
7,1,0,1,False,-522.98,1.2645,0.99
8,1,0,2,False,-522.84,3.4035,1.00
9,1,1,0,False,-505.3,3.0364,0.98
10,1,1,1,False,-516.25,8.55,0.99
11,1,1,2,False,-512.48,5.2076,1.00
12,2,0,0,False,-522.98,1.2714,0.99
13,2,0,1,False,-521.22,1.2419,0.99
14,2,0,2,False,-520.87,2.9245,1.00
15,2,1,0,False,-512.97,3.7228,1.00
16,2,1,1,False,-513.28,6.7772,0.99
17,2,1,2,False,-510.51,4.3968,1.00
18,3,0,0,False,-523.97,1.2856,1.00
19,3,0,1,False,-522.01,1.4542,1.00
20,3,0,2,False,-519.14,2.8924,1.00
21,3,1,0,False,-512.66,4.9693,1.00
22,3,1,1,False,-510.82,5.6041,1.00
23,3,1,2,False,-509.16,5.7831,1.00
24,4,0,0,False,-522.2,1.7272,1.00
25,4,0,1,False,-520.52,1.7628,1.00
26,4,0,2,False,-517.86,2.3055,1.00
27,4,1,0,False,-510.68,5.1088,1.00
28,4,1,1,False,-508.35,4.2132,1.00
29,4,1,2,False,-507.04,4.9651,1.00
