,p,d,q,coeffs significant,AIC,MAPE,Ljung-Box
0,0,0,0,False,-497.0,4.338,0.00
1,0,0,1,False,-514.8,1.6796,0.02
2,0,0,2,False,-515.32,2.4162,0.63
3,0,1,0,False,-504.71,5.0955,0.96
4,0,1,1,False,-512.39,10.8485,0.97
5,0,1,2,False,-516.02,8.8966,0.98
6,1,0,0,False,-520.55,2.6544,0.97
7,1,0,1,False,-518.18,1.6587,0.99
8,1,0,2,False,-517.58,3.1887,1.00
9,1,1,0,False,-504.71,5.4124,0.98
10,1,1,1,False,-516.02,9.1708,0.99
11,1,1,2,False,-514.68,10.097,0.99
12,2,0,0,False,-518.27,2.2166,0.99
13,2,0,1,False,-517.13,2.9182,0.99
14,2,0,2,False,-515.08,3.3333,0.99
15,2,1,0,False,-512.83,6.3763,0.99
16,2,1,1,False,-512.19,7.1601,1.00
17,2,1,2,False,-512.67,8.8245,0.99
18,3,0,0,False,-518.64,1.7136,1.00
19,3,0,1,False,-515.99,1.7094,1.00
20,3,0,2,False,-502.15,3.6352,0.43
21,3,1,0,False,-511.89,6.8628,1.00
22,3,1,1,False,-510.38,8.6365,0.99
23,3,1,2,False,-508.53,7.7124,0.99
24,4,0,0,False,-517.24,2.3058,1.00
25,4,0,1,False,-515.46,2.2424,1.00
26,4,0,2,False,-512.25,1.8681,1.00
27,4,1,0,False,-509.93,6.9627,1.00
28,4,1,1,False,-508.03,7.1141,1.00
29,4,1,2,False,-507.56,8.5086,0.99
