,p,d,q,coeffs significant,AIC,MAPE,Ljung-Box
0,0,0,0,False,-450.96,8.9308,0.00
1,0,0,1,False,-499.6,8.8808,0.03
2,0,0,2,False,-505.2,8.6265,0.88
3,0,1,0,True,-490.73,5.9438,0.98
4,0,1,1,True,-490.03,8.105,0.99
5,0,1,2,False,-501.18,8.1583,0.98
6,1,0,0,False,-504.97,7.2744,1.00
7,1,0,1,False,-507.82,8.2254,1.00
8,1,0,2,False,-509.12,5.6391,1.00
9,1,1,0,False,-489.08,6.3438,0.99
10,1,1,1,False,-486.85,6.1512,0.98
11,1,1,2,False,-500.19,6.2663,0.98
12,2,0,0,False,-504.03,8.0442,1.00
13,2,0,1,False,-507.38,8.1757,1.00
14,2,0,2,False,-506.94,7.2998,1.00
15,2,1,0,False,-499.78,7.8485,0.99
16,2,1,1,False,-498.93,7.1042,1.00
17,2,1,2,False,-496.73,7.5417,0.98
18,3,0,0,False,-508.75,5.261,1.00
19,3,0,1,False,-509.46,6.2065,1.00
20,3,0,2,False,-508.29,6.5174,1.00
21,3,1,0,False,-498.49,7.3072,1.00
22,3,1,1,False,-496.97,7.0795,1.00
23,3,1,2,False,-498.07,4.3712,0.99
24,4,0,0,False,-510.02,7.6855,1.00
25,4,0,1,False,-507.78,6.8044,1.00
26,4,0,2,False,-506.12,7.8887,1.00
27,4,1,0,False,-497.99,7.5339,0.99
28,4,1,1,False,-496.03,7.5825,0.98
29,4,1,2,False,-497.62,7.5302,1.00
