,p,d,q,coeffs significant,AIC,MAPE,Ljung-Box
0,0,0,0,False,-430.99,4.9482,0.00
1,0,0,1,False,-487.68,4.9174,0.01
2,0,0,2,False,-496.83,4.8953,0.95
3,0,1,0,True,-484.81,2.4205,1.00
4,0,1,1,False,-482.82,2.439,1.00
5,0,1,2,False,-494.21,2.483,1.00
6,1,0,0,False,-497.42,4.2884,1.00
7,1,0,1,False,-501.62,4.778,1.00
8,1,0,2,False,-503.12,4.1135,1.00
9,1,1,0,False,-482.81,2.4248,1.00
10,1,1,1,False,-486.07,2.8217,1.00
11,1,1,2,False,-492.57,2.4504,1.00
12,2,0,0,False,-497.0,4.5829,1.00
13,2,0,1,False,-501.66,4.612,1.00
14,2,0,2,False,-501.32,4.2247,1.00
15,2,1,0,False,-493.75,2.1111,1.00
16,2,1,1,False,-493.76,2.2097,1.00
17,2,1,2,False,-491.8,2.216,1.00
18,3,0,0,False,-502.0,3.7923,1.00
19,3,0,1,False,-503.25,4.0659,1.00
20,3,0,2,False,-501.84,4.2392,1.00
21,3,1,0,False,-493.11,2.06,1.00
22,3,1,1,False,-491.24,2.1048,1.00
23,3,1,2,False,-494.06,3.3787,1.00
24,4,0,0,False,-503.77,4.3734,1.00
25,4,0,1,False,-501.76,4.393,1.00
26,4,0,2,False,-499.65,4.1952,1.00
27,4,1,0,False,-491.98,2.298,1.00
28,4,1,1,False,-489.99,2.2986,1.00
29,4,1,2,False,-492.76,4.2658,1.00
